Jahr,Profs,StudierendeGesamt,Drittmitteleinnahmen,Zitationen,ExzGefoerdertDummy_U,ExzDreiFLDummy_U,LuFid,EinheitlicheID
2018,3,186,98.60892414553894,7,nicht gefoerdert,nicht gefoerdert,49,106
2016,2,,1262.243061219637,,nicht gefoerdert,nicht gefoerdert,41,106
2017,4,,874.0283515183925,,nicht gefoerdert,nicht gefoerdert,41,106
2018,4,,471.7844057462061,,nicht gefoerdert,nicht gefoerdert,41,106
2016,,,,,nicht gefoerdert,nicht gefoerdert,43,106
2017,,,,,nicht gefoerdert,nicht gefoerdert,43,106
2018,,,0,,nicht gefoerdert,nicht gefoerdert,43,106
2016,9,668,1053.356660731928,47,nicht gefoerdert,nicht gefoerdert,38,106
2017,9,775,1611.494086895952,60,nicht gefoerdert,nicht gefoerdert,38,106
2018,9,792,2064.506175917597,83,nicht gefoerdert,nicht gefoerdert,38,106
2016,7,1183,420.7411611230798,93,nicht gefoerdert,nicht gefoerdert,48,106
2017,6,1169,319.0274391039754,92,nicht gefoerdert,nicht gefoerdert,48,106
2018,6,1162,630.4545955098192,116,nicht gefoerdert,nicht gefoerdert,48,106
2016,10,1785,611.7159880280569,1,nicht gefoerdert,nicht gefoerdert,47,106
2017,11,1774,721.5416463605696,,nicht gefoerdert,nicht gefoerdert,47,106
2018,10,1726,586.9457443575512,1,nicht gefoerdert,nicht gefoerdert,47,106
2016,7,737,1313.631252993017,5,nicht gefoerdert,nicht gefoerdert,42,106
2017,8,769,1570.097843760904,6,nicht gefoerdert,nicht gefoerdert,42,106
2018,8,760,1587.405472089769,7,nicht gefoerdert,nicht gefoerdert,42,106
2016,1,527,,12,nicht gefoerdert,nicht gefoerdert,53,106
2017,1,661,,16,nicht gefoerdert,nicht gefoerdert,53,106
2018,1,708,,29,nicht gefoerdert,nicht gefoerdert,53,106
2016,32,2988,2203.984265721575,457,nicht gefoerdert,nicht gefoerdert,56,106
2017,32,3011,3248.201221665699,628,nicht gefoerdert,nicht gefoerdert,56,106
2018,31,3026,2873.267313938152,794,nicht gefoerdert,nicht gefoerdert,56,106
2016,,843,,,nicht gefoerdert,nicht gefoerdert,54,106
2017,,915,,,nicht gefoerdert,nicht gefoerdert,54,106
2018,,913,,,nicht gefoerdert,nicht gefoerdert,54,106
2016,3,159,519.0903078965027,,nicht gefoerdert,nicht gefoerdert,33,106
2017,4,179,921.7429339248951,,nicht gefoerdert,nicht gefoerdert,33,106
2018,3,197,1020.035968411895,,nicht gefoerdert,nicht gefoerdert,33,106
2016,12,590,790.8621846037447,280,nicht gefoerdert,nicht gefoerdert,32,106
2017,10,1307,879.257997829042,272,nicht gefoerdert,nicht gefoerdert,32,106
2018,11,1416,897.4791452547141,314,nicht gefoerdert,nicht gefoerdert,32,106
2016,10,762,3769.446005085661,144,nicht gefoerdert,nicht gefoerdert,25,106
2017,11,742,3052.096884063183,155,nicht gefoerdert,nicht gefoerdert,25,106
2018,11,745,1499.31485713618,211,nicht gefoerdert,nicht gefoerdert,25,106
2016,11,215,1879.70107080438,1722,nicht gefoerdert,nicht gefoerdert,37,106
2017,11,214,3298.299190626374,1807,nicht gefoerdert,nicht gefoerdert,37,106
2018,11,207,4264.516359986143,2026,nicht gefoerdert,nicht gefoerdert,37,106
2016,5,120,425.5903304080979,1113,nicht gefoerdert,nicht gefoerdert,13,106
2017,5,134,219.1665104791526,1111,nicht gefoerdert,nicht gefoerdert,13,106
2018,5,131,290.0873451831674,1280,nicht gefoerdert,nicht gefoerdert,13,106
2016,,,,17,nicht gefoerdert,nicht gefoerdert,35,106
2017,,,,30,nicht gefoerdert,nicht gefoerdert,35,106
2018,,,,31,nicht gefoerdert,nicht gefoerdert,35,106
2016,11,658,975.2803070075695,1348,nicht gefoerdert,nicht gefoerdert,12,106
2017,11,651,673.0731988037347,1512,nicht gefoerdert,nicht gefoerdert,12,106
2018,11,643,980.1826549377466,1559,nicht gefoerdert,nicht gefoerdert,12,106
2016,,,,1044,nicht gefoerdert,nicht gefoerdert,21,106
2017,,,,1336,nicht gefoerdert,nicht gefoerdert,21,106
2018,,,,1769,nicht gefoerdert,nicht gefoerdert,21,106
2016,1,,0,35,nicht gefoerdert,nicht gefoerdert,20,106
2017,1,,.0027447392734236,69,nicht gefoerdert,nicht gefoerdert,20,106
2018,1,,0,52,nicht gefoerdert,nicht gefoerdert,20,106
2016,3,,,,nicht gefoerdert,nicht gefoerdert,1,106
2017,4,,,,nicht gefoerdert,nicht gefoerdert,1,106
2018,4,,,,nicht gefoerdert,nicht gefoerdert,1,106
2016,1,344,422.6573467825614,,nicht gefoerdert,nicht gefoerdert,30,106
2017,1,375,353.4464648261767,,nicht gefoerdert,nicht gefoerdert,30,106
2018,1,369,121.7804670306427,,nicht gefoerdert,nicht gefoerdert,30,106
2016,14,1025,5792.629589591163,874,nicht gefoerdert,nicht gefoerdert,2,106
2017,13,1044,6370.898526369172,920,nicht gefoerdert,nicht gefoerdert,2,106
2018,15,1038,6847.717060822783,1217,nicht gefoerdert,nicht gefoerdert,2,106
2016,,,,78,nicht gefoerdert,nicht gefoerdert,19,106
2017,,,,68,nicht gefoerdert,nicht gefoerdert,19,106
2018,,,,122,nicht gefoerdert,nicht gefoerdert,19,106
2016,,106,,141,nicht gefoerdert,nicht gefoerdert,16,106
2017,,112,,191,nicht gefoerdert,nicht gefoerdert,16,106
2018,,100,,202,nicht gefoerdert,nicht gefoerdert,16,106
2016,,239,714.4506585350749,,nicht gefoerdert,nicht gefoerdert,26,106
2017,,234,226.6523355800894,,nicht gefoerdert,nicht gefoerdert,26,106
2018,,234,283.0296619360494,,nicht gefoerdert,nicht gefoerdert,26,106
2016,,,,43,nicht gefoerdert,nicht gefoerdert,55,106
2017,,,,60,nicht gefoerdert,nicht gefoerdert,55,106
2018,,,,67,nicht gefoerdert,nicht gefoerdert,55,106
2016,,,,5,nicht gefoerdert,nicht gefoerdert,9,106
2017,,,,3,nicht gefoerdert,nicht gefoerdert,9,106
2018,,,,10,nicht gefoerdert,nicht gefoerdert,9,106
2016,17,1933,8352.694548081656,1293,nicht gefoerdert,nicht gefoerdert,31,106
2017,16,1860,9104.311705915999,1434,nicht gefoerdert,nicht gefoerdert,31,106
2018,15,1688,9051.969094614145,1780,nicht gefoerdert,nicht gefoerdert,31,106
2016,15,998,4421.192587977306,146,nicht gefoerdert,nicht gefoerdert,15,106
2017,15,907,4253.375975350033,186,nicht gefoerdert,nicht gefoerdert,15,106
2018,14,908,3861.887926109627,216,nicht gefoerdert,nicht gefoerdert,15,106
2016,,27,,8,nicht gefoerdert,nicht gefoerdert,51,106
2017,,32,,11,nicht gefoerdert,nicht gefoerdert,51,106
2018,,43,,11,nicht gefoerdert,nicht gefoerdert,51,106
2016,20,823,1001.530766190016,,nicht gefoerdert,nicht gefoerdert,6,106
2017,20,851,1016.187550851566,,nicht gefoerdert,nicht gefoerdert,6,106
2018,20,918,904.5997377548974,,nicht gefoerdert,nicht gefoerdert,6,106
2016,11,396,601.9478625195949,33,nicht gefoerdert,nicht gefoerdert,40,106
2017,11,406,521.2452042617136,54,nicht gefoerdert,nicht gefoerdert,40,106
2018,10,397,598.546770059919,87,nicht gefoerdert,nicht gefoerdert,40,106
2016,17,1331,2156.585750027387,70,nicht gefoerdert,nicht gefoerdert,8,106
2017,16,1384,2242.781433886575,77,nicht gefoerdert,nicht gefoerdert,8,106
2018,15,1352,2191.04734318021,87,nicht gefoerdert,nicht gefoerdert,8,106
2016,,,,,nicht gefoerdert,nicht gefoerdert,52,106
2017,,,,,nicht gefoerdert,nicht gefoerdert,52,106
2018,,,,,nicht gefoerdert,nicht gefoerdert,52,106
2016,,336,105.0446934683387,1,nicht gefoerdert,nicht gefoerdert,29,106
2017,,319,127.7703566948362,1,nicht gefoerdert,nicht gefoerdert,29,106
2018,,307,190.8898328516909,,nicht gefoerdert,nicht gefoerdert,29,106
2016,,0,57.37243950269672,1,nicht gefoerdert,nicht gefoerdert,11,106
2017,,0,21.76395252061066,1,nicht gefoerdert,nicht gefoerdert,11,106
2018,,0,55.73715944165228,,nicht gefoerdert,nicht gefoerdert,11,106
2016,0,227,110.3435779112279,13,nicht gefoerdert,nicht gefoerdert,24,106
2017,,227,22.10429995022886,10,nicht gefoerdert,nicht gefoerdert,24,106
2018,,217,91.90888987451697,7,nicht gefoerdert,nicht gefoerdert,24,106
2016,1,,17.39478510720841,,nicht gefoerdert,nicht gefoerdert,14,106
2017,1,,4.139066941909777,,nicht gefoerdert,nicht gefoerdert,14,106
2018,1,,17.69631941166507,,nicht gefoerdert,nicht gefoerdert,14,106
2016,3,111,7.666666857892094,3,nicht gefoerdert,nicht gefoerdert,34,106
2017,3,110,38.10247017870437,,nicht gefoerdert,nicht gefoerdert,34,106
2018,3,112,27.13531430732491,1,nicht gefoerdert,nicht gefoerdert,34,106
2016,2,1698,595.0949897532907,,nicht gefoerdert,nicht gefoerdert,50,101
2017,3,1619,430.989034189357,,nicht gefoerdert,nicht gefoerdert,50,101
2018,4,1613,354.8950645829204,,nicht gefoerdert,nicht gefoerdert,50,101
2016,4,75,26.40130310997181,,nicht gefoerdert,nicht gefoerdert,18,101
2017,4,71,32.62488599638988,2,nicht gefoerdert,nicht gefoerdert,18,101
2018,4,51,31.70923555463912,,nicht gefoerdert,nicht gefoerdert,18,101
2016,4,89,0,,nicht gefoerdert,nicht gefoerdert,27,101
2017,4,82,3.888380603551012,2,nicht gefoerdert,nicht gefoerdert,27,101
2018,4,71,7.584264580865992,,nicht gefoerdert,nicht gefoerdert,27,101
2016,5,441,156.8817479532742,26,nicht gefoerdert,nicht gefoerdert,36,101
2017,5,454,324.9570073253113,30,nicht gefoerdert,nicht gefoerdert,36,101
2018,5,506,798.7839608408591,48,nicht gefoerdert,nicht gefoerdert,36,101
2016,12,716,536.1703769274611,11,nicht gefoerdert,nicht gefoerdert,23,101
2017,10,748,909.9130586184286,13,nicht gefoerdert,nicht gefoerdert,23,101
2018,10,799,725.8482781902247,12,nicht gefoerdert,nicht gefoerdert,23,101
2016,,,,29,nicht gefoerdert,nicht gefoerdert,10,101
2017,,,1062.886537295914,34,nicht gefoerdert,nicht gefoerdert,10,101
2018,,,,44,nicht gefoerdert,nicht gefoerdert,10,101
2016,2,0,,,nicht gefoerdert,nicht gefoerdert,3,101
2017,2,0,,1,nicht gefoerdert,nicht gefoerdert,3,101
2018,2,,,2,nicht gefoerdert,nicht gefoerdert,3,101
2016,,,,,nicht gefoerdert,nicht gefoerdert,4,101
2017,,,,,nicht gefoerdert,nicht gefoerdert,4,101
2018,,,,1,nicht gefoerdert,nicht gefoerdert,4,101
2016,16,1806,2563.830498018259,11,nicht gefoerdert,nicht gefoerdert,22,101
2017,16,1693,1748.474846906836,14,nicht gefoerdert,nicht gefoerdert,22,101
2018,16,1639,2794.013501979661,14,nicht gefoerdert,nicht gefoerdert,22,101
2016,9,1557,88.05028108472763,11,nicht gefoerdert,nicht gefoerdert,5,101
2017,9,1602,42.3385187310996,14,nicht gefoerdert,nicht gefoerdert,5,101
2018,10,1616,306.1203469603583,14,nicht gefoerdert,nicht gefoerdert,5,101
2016,5,659,9.364990326020985,11,nicht gefoerdert,nicht gefoerdert,44,101
2017,5,641,.0256175671200068,14,nicht gefoerdert,nicht gefoerdert,44,101
2018,5,578,6.872565948405544,14,nicht gefoerdert,nicht gefoerdert,44,101
2016,,,,11,nicht gefoerdert,nicht gefoerdert,45,101
2017,,,,14,nicht gefoerdert,nicht gefoerdert,45,101
2018,,,,14,nicht gefoerdert,nicht gefoerdert,45,101
2016,3,278,129.2895666838846,11,nicht gefoerdert,nicht gefoerdert,7,101
2017,3,275,161.2616675867591,14,nicht gefoerdert,nicht gefoerdert,7,101
2018,4,279,869.5126091904052,14,nicht gefoerdert,nicht gefoerdert,7,101
2016,,,,13,nicht gefoerdert,nicht gefoerdert,28,101
2017,,,,8,nicht gefoerdert,nicht gefoerdert,28,101
2018,,,,19,nicht gefoerdert,nicht gefoerdert,28,101
2016,13,33,1140.287658492226,1091,nicht gefoerdert,nicht gefoerdert,39,101
2017,14,66,1598.111584430979,1315,nicht gefoerdert,nicht gefoerdert,39,101
2018,16,104,2010.867125078177,1250,nicht gefoerdert,nicht gefoerdert,39,101
2016,19,721,2799.841740289898,263,nicht gefoerdert,nicht gefoerdert,17,101
2017,20,696,1824.693517382306,262,nicht gefoerdert,nicht gefoerdert,17,101
2018,21,726,2007.987230518497,275,nicht gefoerdert,nicht gefoerdert,17,101
2016,,,,,nicht gefoerdert,nicht gefoerdert,46,101
2017,,,,,nicht gefoerdert,nicht gefoerdert,46,101
2018,,,,,nicht gefoerdert,nicht gefoerdert,46,101
2016,2,236,120.1908814750335,3,nicht gefoerdert,nicht gefoerdert,49,101
2017,3,256,152.9213223774549,12,nicht gefoerdert,nicht gefoerdert,49,101
2018,3,254,94.49059622007113,11,nicht gefoerdert,nicht gefoerdert,49,101
2016,0,99,0,,nicht gefoerdert,nicht gefoerdert,41,101
2017,0,116,0,,nicht gefoerdert,nicht gefoerdert,41,101
2018,0,141,14.76325775766015,,nicht gefoerdert,nicht gefoerdert,41,101
2016,,273,,,nicht gefoerdert,nicht gefoerdert,43,101
2017,,274,,,nicht gefoerdert,nicht gefoerdert,43,101
2018,,263,,,nicht gefoerdert,nicht gefoerdert,43,101
2016,13,1292,,149,nicht gefoerdert,nicht gefoerdert,38,101
2017,13,1285,,199,nicht gefoerdert,nicht gefoerdert,38,101
2018,13,1255,,221,nicht gefoerdert,nicht gefoerdert,38,101
2016,21,1500,6607.253203793335,70,nicht gefoerdert,nicht gefoerdert,48,101
2017,23,1509,6797.802421150741,83,nicht gefoerdert,nicht gefoerdert,48,101
2018,25,1501,4829.007724201196,73,nicht gefoerdert,nicht gefoerdert,48,101
2016,2,1045,698.1247771750039,2,nicht gefoerdert,nicht gefoerdert,47,101
2017,2,1026,811.5745885856335,13,nicht gefoerdert,nicht gefoerdert,47,101
2018,2,1040,1362.102481579409,7,nicht gefoerdert,nicht gefoerdert,47,101
2016,3,,,30,nicht gefoerdert,nicht gefoerdert,42,101
2017,3,,,20,nicht gefoerdert,nicht gefoerdert,42,101
2018,3,,,27,nicht gefoerdert,nicht gefoerdert,42,101
2016,1,,,42,nicht gefoerdert,nicht gefoerdert,53,101
2017,1,,,58,nicht gefoerdert,nicht gefoerdert,53,101
2018,1,,,36,nicht gefoerdert,nicht gefoerdert,53,101
2016,50,5717,4870.604104470603,540,nicht gefoerdert,nicht gefoerdert,56,101
2017,50,5703,7132.442602964619,627,nicht gefoerdert,nicht gefoerdert,56,101
2018,49,5534,7014.056804476232,754,nicht gefoerdert,nicht gefoerdert,56,101
2016,,,,,nicht gefoerdert,nicht gefoerdert,54,101
2017,,,,,nicht gefoerdert,nicht gefoerdert,54,101
2018,,121,,,nicht gefoerdert,nicht gefoerdert,54,101
2016,,184,,,nicht gefoerdert,nicht gefoerdert,33,101
2017,,204,,,nicht gefoerdert,nicht gefoerdert,33,101
2018,,194,,,nicht gefoerdert,nicht gefoerdert,33,101
2016,32,2815,1141.891053183389,1424,nicht gefoerdert,nicht gefoerdert,32,101
2017,31,2726,2106.81878272168,1450,nicht gefoerdert,nicht gefoerdert,32,101
2018,30,2734,2371.669845690889,1584,nicht gefoerdert,nicht gefoerdert,32,101
2016,28,5238,7201.022298546289,612,nicht gefoerdert,nicht gefoerdert,25,101
2017,29,5127,6164.846072559146,512,nicht gefoerdert,nicht gefoerdert,25,101
2018,28,4969,4761.024924888669,684,nicht gefoerdert,nicht gefoerdert,25,101
2016,21,1075,2627.652812739381,8641,nicht gefoerdert,nicht gefoerdert,37,101
2017,23,1146,5691.215047034283,9583,nicht gefoerdert,nicht gefoerdert,37,101
2018,21,1102,5275.54385499135,10234,nicht gefoerdert,nicht gefoerdert,37,101
2016,27,1226,2772.055854802573,7387,nicht gefoerdert,nicht gefoerdert,13,101
2017,28,1225,6781.82539404764,7942,nicht gefoerdert,nicht gefoerdert,13,101
2018,26,1187,8861.523534366765,8601,nicht gefoerdert,nicht gefoerdert,13,101
2016,,2,,744,nicht gefoerdert,nicht gefoerdert,35,101
2017,,10,,726,nicht gefoerdert,nicht gefoerdert,35,101
2018,,9,,797,nicht gefoerdert,nicht gefoerdert,35,101
2016,19,1297,749.5009210404477,9242,nicht gefoerdert,nicht gefoerdert,12,101
2017,20,1315,2140.086907647708,9604,nicht gefoerdert,nicht gefoerdert,12,101
2018,19,1343,3645.31665216989,11004,nicht gefoerdert,nicht gefoerdert,12,101
2016,1,,,1429,nicht gefoerdert,nicht gefoerdert,21,101
2017,1,,,1607,nicht gefoerdert,nicht gefoerdert,21,101
2018,1,,,2157,nicht gefoerdert,nicht gefoerdert,21,101
2016,2,8,263.0428264285669,43,nicht gefoerdert,nicht gefoerdert,20,101
2017,2,6,71.16834634734002,57,nicht gefoerdert,nicht gefoerdert,20,101
2018,2,1,57.16864317823736,37,nicht gefoerdert,nicht gefoerdert,20,101
2016,,0,,,nicht gefoerdert,nicht gefoerdert,30,101
2017,,0,,,nicht gefoerdert,nicht gefoerdert,30,101
2018,,0,,,nicht gefoerdert,nicht gefoerdert,30,101
2016,,,,240,nicht gefoerdert,nicht gefoerdert,2,101
2017,,,,267,nicht gefoerdert,nicht gefoerdert,2,101
2018,,,,322,nicht gefoerdert,nicht gefoerdert,2,101
2016,,,,49,nicht gefoerdert,nicht gefoerdert,19,101
2017,,,,32,nicht gefoerdert,nicht gefoerdert,19,101
2018,,,,52,nicht gefoerdert,nicht gefoerdert,19,101
2016,,,,350,nicht gefoerdert,nicht gefoerdert,16,101
2017,,,,441,nicht gefoerdert,nicht gefoerdert,16,101
2018,,,,446,nicht gefoerdert,nicht gefoerdert,16,101
2016,3,71,47.35102377879166,,nicht gefoerdert,nicht gefoerdert,26,101
2017,3,59,209.0722840371347,,nicht gefoerdert,nicht gefoerdert,26,101
2018,3,56,166.2778216423667,,nicht gefoerdert,nicht gefoerdert,26,101
2016,1,1630,912.5893590374109,45,nicht gefoerdert,nicht gefoerdert,55,101
2017,1,1612,1248.321170137393,79,nicht gefoerdert,nicht gefoerdert,55,101
2018,1,1623,993.0741704529946,102,nicht gefoerdert,nicht gefoerdert,55,101
2016,2,6,,36,nicht gefoerdert,nicht gefoerdert,9,101
2017,2,4,,48,nicht gefoerdert,nicht gefoerdert,9,101
2018,1,5,,62,nicht gefoerdert,nicht gefoerdert,9,101
2016,27,3193,7176.939667175889,4773,nicht gefoerdert,nicht gefoerdert,31,101
2017,23,3048,11205.00932698443,5830,nicht gefoerdert,nicht gefoerdert,31,101
2018,21,2913,11611.39349829226,6669,nicht gefoerdert,nicht gefoerdert,31,101
2016,13,1277,2705.329539630668,713,nicht gefoerdert,nicht gefoerdert,15,101
2017,14,1306,4794.826273370953,829,nicht gefoerdert,nicht gefoerdert,15,101
2018,14,1261,4844.162546810597,1067,nicht gefoerdert,nicht gefoerdert,15,101
2016,1,,,44,nicht gefoerdert,nicht gefoerdert,51,101
2017,1,,,57,nicht gefoerdert,nicht gefoerdert,51,101
2018,1,,,53,nicht gefoerdert,nicht gefoerdert,51,101
2016,,,,,nicht gefoerdert,nicht gefoerdert,6,101
2017,,,,,nicht gefoerdert,nicht gefoerdert,6,101
2018,,,,,nicht gefoerdert,nicht gefoerdert,6,101
2016,,31,,32,nicht gefoerdert,nicht gefoerdert,40,101
2017,,34,,35,nicht gefoerdert,nicht gefoerdert,40,101
2018,,40,,54,nicht gefoerdert,nicht gefoerdert,40,101
2016,10,2006,2682.968395181112,38,nicht gefoerdert,nicht gefoerdert,8,101
2017,10,1979,3386.42546828159,37,nicht gefoerdert,nicht gefoerdert,8,101
2018,10,2060,3999.361591711388,47,nicht gefoerdert,nicht gefoerdert,8,101
2016,,,,,nicht gefoerdert,nicht gefoerdert,52,101
2017,,,,,nicht gefoerdert,nicht gefoerdert,52,101
2018,,,,,nicht gefoerdert,nicht gefoerdert,52,101
2016,3,279,.5586592400343189,,nicht gefoerdert,nicht gefoerdert,29,101
2017,3,239,6.856358607023139,,nicht gefoerdert,nicht gefoerdert,29,101
2018,3,245,127.3177016411755,,nicht gefoerdert,nicht gefoerdert,29,101
2016,,,,,nicht gefoerdert,nicht gefoerdert,11,101
2017,,,,,nicht gefoerdert,nicht gefoerdert,11,101
2018,,,,,nicht gefoerdert,nicht gefoerdert,11,101
2016,2,71,,117,nicht gefoerdert,nicht gefoerdert,24,101
2017,2,59,,100,nicht gefoerdert,nicht gefoerdert,24,101
2018,2,42,,154,nicht gefoerdert,nicht gefoerdert,24,101
2016,,,,,nicht gefoerdert,nicht gefoerdert,14,101
2017,,,,,nicht gefoerdert,nicht gefoerdert,14,101
2018,,,,,nicht gefoerdert,nicht gefoerdert,14,101
2016,,,,,nicht gefoerdert,nicht gefoerdert,34,101
2017,,,,,nicht gefoerdert,nicht gefoerdert,34,101
2018,,,,,nicht gefoerdert,nicht gefoerdert,34,101
2016,8,1239,1823.686255064284,,nicht gefoerdert,nicht gefoerdert,50,113
2017,7,1344,703.9469363285808,,nicht gefoerdert,nicht gefoerdert,50,113
2018,8,1439,62.74811323488054,,nicht gefoerdert,nicht gefoerdert,50,113
2016,5,91,1.851955272493043,,nicht gefoerdert,nicht gefoerdert,18,113
2017,5,87,0,1,nicht gefoerdert,nicht gefoerdert,18,113
2018,5,93,.5059172213892614,,nicht gefoerdert,nicht gefoerdert,18,113
2016,7,98,313.325878382649,,nicht gefoerdert,nicht gefoerdert,27,113
2017,7,88,265.8508803158633,1,nicht gefoerdert,nicht gefoerdert,27,113
2018,6,100,272.5474007881945,,nicht gefoerdert,nicht gefoerdert,27,113
2016,4,208,276.0633187823972,4,nicht gefoerdert,nicht gefoerdert,36,113
2017,4,236,535.4254077394642,3,nicht gefoerdert,nicht gefoerdert,36,113
2018,3,282,90.7514789098549,6,nicht gefoerdert,nicht gefoerdert,36,113
2016,7,714,432.9702139020015,7,nicht gefoerdert,nicht gefoerdert,23,113
2017,7,679,90.554435423039,8,nicht gefoerdert,nicht gefoerdert,23,113
2018,7,664,73.58354649066986,4,nicht gefoerdert,nicht gefoerdert,23,113
2016,,,,1,nicht gefoerdert,nicht gefoerdert,10,113
2017,,,,3,nicht gefoerdert,nicht gefoerdert,10,113
2018,,,,5,nicht gefoerdert,nicht gefoerdert,10,113
2016,3,328,,,nicht gefoerdert,nicht gefoerdert,3,113
2017,3,320,,1,nicht gefoerdert,nicht gefoerdert,3,113
2018,3,290,,1,nicht gefoerdert,nicht gefoerdert,3,113
2016,,,,,nicht gefoerdert,nicht gefoerdert,4,113
2017,,,,,nicht gefoerdert,nicht gefoerdert,4,113
2018,,,,,nicht gefoerdert,nicht gefoerdert,4,113
2016,14,2059,476.577275700407,13,nicht gefoerdert,nicht gefoerdert,22,113
2017,14,1867,595.1015405653579,11,nicht gefoerdert,nicht gefoerdert,22,113
2018,13,1844,707.055688258409,10,nicht gefoerdert,nicht gefoerdert,22,113
2016,8,1488,189.567040228523,13,nicht gefoerdert,nicht gefoerdert,5,113
2017,9,1544,206.0521466797802,11,nicht gefoerdert,nicht gefoerdert,5,113
2018,9,1599,310.1002759002519,10,nicht gefoerdert,nicht gefoerdert,5,113
2016,6,350,38.06424629025399,13,nicht gefoerdert,nicht gefoerdert,44,113
2017,4,310,93.35773184617977,11,nicht gefoerdert,nicht gefoerdert,44,113
2018,4,282,134.9046699967448,10,nicht gefoerdert,nicht gefoerdert,44,113
2016,,,,13,nicht gefoerdert,nicht gefoerdert,45,113
2017,,,,11,nicht gefoerdert,nicht gefoerdert,45,113
2018,,,,10,nicht gefoerdert,nicht gefoerdert,45,113
2016,1,,0,13,nicht gefoerdert,nicht gefoerdert,7,113
2017,1,,0,11,nicht gefoerdert,nicht gefoerdert,7,113
2018,1,,0,10,nicht gefoerdert,nicht gefoerdert,7,113
2016,,29,,1,nicht gefoerdert,nicht gefoerdert,28,113
